"League","Year","blueTeamTag","bResult","rResult","redTeamTag","id_mathinfo"
"NALCS","2015","GV","1","0","TL","138"
"NALCS","2015","TIP","1","0","C9","139"
"NALCS","2015","TSM","1","0","CLG","140"
"NALCS","2015","TDK","1","0","DIG","141"
"NALCS","2015","T8","1","0","NME","142"
"NALCS","2015","TIP","1","0","NME","143"
"NALCS","2015","TDK","0","1","TSM","144"
"NALCS","2015","C9","0","1","TL","145"
"NALCS","2015","CLG","0","1","GV","146"
"NALCS","2015","DIG","1","0","T8","147"
"NALCS","2015","NME","1","0","TDK","148"
"NALCS","2015","CLG","0","1","TIP","149"
"NALCS","2015","TSM","0","1","GV","150"
"NALCS","2015","DIG","0","1","TL","151"
"NALCS","2015","T8","1","0","C9","152"
"NALCS","2015","TL","1","0","TDK","153"
"NALCS","2015","NME","0","1","CLG","154"
"NALCS","2015","GV","1","0","C9","155"
"NALCS","2015","T8","1","0","TSM","156"
"NALCS","2015","TIP","1","0","DIG","157"
"NALCS","2015","NME","0","1","GV","158"
"NALCS","2015","C9","1","0","DIG","159"
"NALCS","2015","TSM","0","1","TL","160"
"NALCS","2015","TIP","1","0","T8","161"
"NALCS","2015","CLG","1","0","TDK","162"
"NALCS","2015","C9","1","0","NME","163"
"NALCS","2015","TIP","1","0","TSM","164"
"NALCS","2015","CLG","1","0","TL","165"
"NALCS","2015","GV","0","1","DIG","166"
"NALCS","2015","TDK","0","1","T8","167"
"NALCS","2015","TL","1","0","NME","168"
"NALCS","2015","C9","0","1","CLG","169"
"NALCS","2015","DIG","0","1","TSM","170"
"NALCS","2015","TDK","0","1","TIP","171"
"NALCS","2015","T8","0","1","GV","172"
"NALCS","2015","T8","0","1","TL","173"
"NALCS","2015","DIG","0","1","CLG","174"
"NALCS","2015","GV","0","1","TIP","175"
"NALCS","2015","NME","0","1","TSM","176"
"NALCS","2015","TDK","1","0","C9","177"
"NALCS","2015","NME","0","1","DIG","178"
"NALCS","2015","CLG","1","0","T8","179"
"NALCS","2015","TSM","0","1","C9","180"
"NALCS","2015","GV","0","1","TDK","181"
"NALCS","2015","TL","1","0","TIP","182"
"NALCS","2015","T8","0","1","C9","183"
"NALCS","2015","TIP","1","0","GV","184"
"NALCS","2015","TL","1","0","CLG","185"
"NALCS","2015","CLG","0","1","TL","186"
"NALCS","2015","TL","1","0","CLG","187"
"NALCS","2015","CLG","0","1","TL","188"
"NALCS","2015","TIP","1","0","GV","189"
"NALCS","2015","GV","1","0","TIP","190"
"NALCS","2015","GV","0","1","TIP","191"
"NALCS","2015","GV","0","1","TIP","192"
"NALCS","2015","C9","0","1","TL","193"
"NALCS","2015","TL","1","0","C9","194"
"NALCS","2015","C9","1","0","TL","195"
"NALCS","2015","TL","0","1","C9","196"
"NALCS","2015","C9","1","0","TL","197"
"NALCS","2015","TSM","0","1","TIP","198"
"NALCS","2015","TIP","0","1","TSM","199"
"NALCS","2015","TIP","0","1","TSM","200"
"NALCS","2015","TIP","0","1","TSM","201"
"NALCS","2015","TIP","1","0","TL","202"
"NALCS","2015","TL","1","0","TIP","203"
"NALCS","2015","TL","0","1","TIP","204"
"NALCS","2015","TL","1","0","TIP","205"
"NALCS","2015","TIP","0","1","TL","206"
"NALCS","2015","TSM","0","1","C9","207"
"NALCS","2015","C9","0","1","TSM","208"
"NALCS","2015","TSM","1","0","C9","209"
"NALCS","2015","C9","0","1","TSM","210"
"NALCS","2015","TIP","1","0","DIG","211"
"NALCS","2015","DIG","0","1","TIP","212"
"NALCS","2015","TIP","1","0","DIG","213"
"NALCS","2015","GV","0","1","TSM","214"
"NALCS","2015","GV","1","0","TSM","215"
"NALCS","2015","TSM","1","0","GV","216"
"NALCS","2015","GV","0","1","TSM","217"
"NALCS","2015","CLG","1","0","TIP","218"
"NALCS","2015","TIP","0","1","CLG","219"
"NALCS","2015","CLG","1","0","TIP","220"
"NALCS","2015","TL","0","1","TSM","221"
"NALCS","2015","TSM","1","0","TL","222"
"NALCS","2015","TL","1","0","TSM","223"
"NALCS","2015","TSM","1","0","TL","224"
"NALCS","2015","TL","1","0","TIP","225"
"NALCS","2015","TIP","1","0","TL","226"
"NALCS","2015","TL","1","0","TIP","227"
"NALCS","2015","TIP","0","1","TL","228"
"NALCS","2015","CLG","1","0","TSM","229"
"NALCS","2015","TSM","0","1","CLG","230"
"NALCS","2015","CLG","1","0","TSM","231"
"NALCS","2015","C9","0","1","GV","232"
"NALCS","2015","C9","0","1","GV","233"
"NALCS","2015","C9","1","0","GV","234"
"NALCS","2015","C9","1","0","GV","235"
"NALCS","2015","C9","1","0","GV","236"
"NALCS","2015","TIP","1","0","C9","237"
"NALCS","2015","C9","0","1","TIP","238"
"NALCS","2015","TIP","0","1","C9","239"
"NALCS","2015","C9","1","0","TIP","240"
"NALCS","2015","TIP","0","1","C9","241"
"NALCS","2015","TL","0","1","C9","242"
"NALCS","2015","C9","0","1","TL","243"
"NALCS","2015","TL","0","1","C9","244"
"NALCS","2015","C9","1","0","TL","245"
"NALCS","2016","TSM","0","1","CLG","246"
"NALCS","2016","C9","0","1","IMT","247"
"NALCS","2016","DIG","0","1","NRG","248"
"NALCS","2016","REN","1","0","TL","249"
"NALCS","2016","FOX","1","0","TIP","250"
"NALCS","2016","REN","0","1","NRG","251"
"NALCS","2016","DIG","1","0","CLG","252"
"NALCS","2016","TSM","1","0","TL","253"
"NALCS","2016","FOX","0","1","C9","254"
"NALCS","2016","IMT","1","0","TIP","255"
"NALCS","2016","TIP","1","0","C9","256"
"NALCS","2016","TSM","0","1","IMT","257"
"NALCS","2016","TL","0","1","CLG","258"
"NALCS","2016","DIG","1","0","REN","259"
"NALCS","2016","TSM","1","0","DIG","260"
"NALCS","2016","NRG","0","1","IMT","261"
"NALCS","2016","CLG","0","1","C9","262"
"NALCS","2016","FOX","0","1","TL","263"
"NALCS","2016","REN","0","1","TIP","264"
"NALCS","2016","TIP","1","0","DIG","265"
"NALCS","2016","C9","0","1","TSM","266"
"NALCS","2016","TL","1","0","NRG","267"
"NALCS","2016","CLG","1","0","FOX","268"
"NALCS","2016","IMT","1","0","REN","269"
"NALCS","2016","TL","1","0","TIP","270"
"NALCS","2016","NRG","1","0","TSM","271"
"NALCS","2016","DIG","0","1","C9","272"
"NALCS","2016","FOX","0","1","IMT","273"
"NALCS","2016","CLG","1","0","REN","274"
"NALCS","2016","TL","1","0","DIG","275"
"NALCS","2016","C9","1","0","REN","276"
"NALCS","2016","CLG","0","1","IMT","277"
"NALCS","2016","TSM","1","0","FOX","278"
"NALCS","2016","NRG","1","0","TIP","279"
"NALCS","2016","IMT","1","0","TL","280"
"NALCS","2016","C9","1","0","NRG","281"
"NALCS","2016","REN","0","1","TSM","282"
"NALCS","2016","TIP","0","1","CLG","283"
"NALCS","2016","DIG","1","0","FOX","284"
"NALCS","2016","FOX","1","0","REN","285"
"NALCS","2016","NRG","0","1","CLG","286"
"NALCS","2016","C9","1","0","TL","287"
"NALCS","2016","TIP","0","1","TSM","288"
"NALCS","2016","IMT","1","0","DIG","289"
"NALCS","2016","FOX","1","0","NRG","290"
"NALCS","2016","CLG","0","1","TSM","291"
"NALCS","2016","IMT","1","0","C9","292"
"NALCS","2016","TL","1","0","REN","293"
"NALCS","2016","DIG","0","1","TIP","294"
"NALCS","2016","NRG","1","0","DIG","295"
"NALCS","2016","REN","0","1","IMT","296"
"NALCS","2016","TSM","0","1","C9","297"
"NALCS","2016","CLG","1","0","TIP","298"
"NALCS","2016","TL","0","1","FOX","299"
"NALCS","2016","REN","0","1","CLG","300"
"NALCS","2016","DIG","1","0","TSM","301"
"NALCS","2016","NRG","0","1","C9","302"
"NALCS","2016","TIP","0","1","FOX","303"
"NALCS","2016","TL","0","1","IMT","304"
"NALCS","2016","TIP","0","1","TL","305"
"NALCS","2016","FOX","0","1","TSM","306"
"NALCS","2016","IMT","0","1","CLG","307"
"NALCS","2016","NRG","1","0","REN","308"
"NALCS","2016","C9","1","0","DIG","309"
"NALCS","2016","TIP","1","0","NRG","310"
"NALCS","2016","C9","0","1","CLG","311"
"NALCS","2016","TL","1","0","TSM","312"
"NALCS","2016","REN","1","0","DIG","313"
"NALCS","2016","IMT","1","0","FOX","314"
"NALCS","2016","REN","0","1","C9","315"
"NALCS","2016","IMT","1","0","NRG","316"
"NALCS","2016","CLG","0","1","TL","317"
"NALCS","2016","TSM","1","0","TIP","318"
"NALCS","2016","FOX","1","0","DIG","319"
"NALCS","2016","C9","1","0","TIP","320"
"NALCS","2016","NRG","1","0","TL","321"
"NALCS","2016","TSM","0","1","REN","322"
"NALCS","2016","DIG","0","1","IMT","323"
"NALCS","2016","FOX","0","1","CLG","324"
"NALCS","2016","TIP","0","1","REN","325"
"NALCS","2016","CLG","1","0","NRG","326"
"NALCS","2016","IMT","1","0","TSM","327"
"NALCS","2016","DIG","0","1","TL","328"
"NALCS","2016","C9","1","0","FOX","329"
"NALCS","2016","REN","1","0","FOX","330"
"NALCS","2016","TL","1","0","C9","331"
"NALCS","2016","TIP","0","1","IMT","332"
"NALCS","2016","CLG","1","0","DIG","333"
