bKills;T8 Slooshi8;CLG Doublelift;CLG Benny;CLG Xmithie;CLG aphromoo
bKills;T8 Dodo8;CLG Link;CLG Benny;CLG Xmithie;CLG aphromoo
bKills;T8 CaliTrlolz8;CLG Link;CLG Benny;CLG Xmithie;CLG Doublelift
bKills;T8 Porpoise8;CLG Link;CLG Benny;CLG Xmithie;CLG Doublelift
bKills;T8 Slooshi8;CLG Link;CLG Xmithie;CLG Doublelift;CLG aphromoo
bKills;T8 Maplestreet8;CLG Link;;;
bKills;T8 Dodo8;CLG Benny;CLG Xmithie;CLG aphromoo;
bKills;T8 Dodo8;CLG Link;CLG Xmithie;CLG aphromoo;
bKills;T8 Maplestreet8;CLG Xmithie;CLG Benny;CLG Link;CLG aphromoo
bKills;T8 Slooshi8;CLG Link;CLG Benny;CLG Xmithie;CLG aphromoo
bKills;T8 Porpoise8;CLG Link;CLG Benny;CLG Xmithie;CLG aphromoo
bKills;T8 CaliTrlolz8;CLG Benny;CLG Xmithie;CLG Link;CLG aphromoo
bKills;T8 Porpoise8;CLG Link;CLG Benny;CLG Xmithie;CLG Doublelift
bKills;T8 Dodo8;CLG Doublelift;CLG Benny;CLG Xmithie;CLG Link
bKills;T8 Slooshi8;CLG Xmithie;CLG Link;CLG aphromoo;
bKills;TIP Adrian;DIG KiWiKiD;DIG CoreJJ;;
bKills;TIP XiaoWeiXiao;DIG Crumbzz;DIG Shiphtur;DIG CoreJJ;DIG KiWiKiD
bKills;TIP Rush;DIG Shiphtur;DIG Crumbzz;DIG KiWiKiD;
bKills;TIP Adrian;DIG Shiphtur;DIG Gamsu;;
bKills;WFX Flaresz;CST Impaler;CST Cris;;
bKills;WFX ShorterACE;CST Impaler;CST Cris;;
bKills;WFX Flaresz;CST Cris;CST Impaler;;
bKills;WFX ShorterACE;CST Jesiz;CST Mash;;
bKills;WFX Flaresz;CST Cris;CST Impaler;;
bKills;WFX Pobelter;CST Mash;CST Impaler;CST Jesiz;CST Sheep
bKills;WFX ShorterACE;CST Sheep;CST Impaler;;
bKills;WFX Pobelter;CST Cris;CST Impaler;CST Mash;CST Sheep
