Team,ban_1,ban_2,ban_3
blueBans,Fizz,TwistedFate,Azir
blueBans,Sivir,Yasuo,Gnar
blueBans,RekSai,Kalista,Gragas
blueBans,Nidalee,Sivir,JarvanIV
blueBans,Annie,Alistar,RekSai
blueBans,Olaf,Kalista,Alistar
blueBans,Azir,Kalista,RekSai
blueBans,Sivir,Vladimir,Diana
blueBans,Nidalee,Gragas,RekSai
blueBans,Azir,RekSai,Kalista
blueBans,Azir,Annie,Nidalee
blueBans,Azir,Kalista,TwistedFate
blueBans,Annie,Kalista,Sivir
blueBans,Nidalee,Shen,Alistar
blueBans,Alistar,Fizz,Tristana
blueBans,Azir,Kalista,Alistar
blueBans,Nidalee,TwistedFate,Nautilus
blueBans,Urgot,Rumble,Sivir
blueBans,Azir,Sivir,Alistar
blueBans,Rumble,TwistedFate,Kalista
blueBans,TwistedFate,KogMaw,LeeSin
blueBans,Azir,Annie,Kalista
blueBans,Rumble,RekSai,Kalista
blueBans,Alistar,Annie,Kalista
blueBans,Nidalee,Tristana,Braum
blueBans,Rumble,Kalista,Maokai
blueBans,Evelynn,Zac,Vladimir
blueBans,Nidalee,Shen,Alistar
blueBans,Karma,Nidalee,Sivir
blueBans,Rumble,Thresh,Kalista
blueBans,Olaf,Gragas,Alistar
blueBans,Morgana,Gragas,Zed
blueBans,TwistedFate,Vi,Kalista
blueBans,Morgana,Urgot,Lulu
blueBans,Nunu,Sejuani,Urgot
blueBans,TwistedFate,Yasuo,LeeSin
blueBans,TwistedFate,Yasuo,LeeSin
blueBans,TwistedFate,LeeSin,Hecarim
blueBans,Vladimir,Lulu,Urgot
blueBans,Nidalee,Kennen,Rumble
blueBans,Vladimir,Urgot,Azir
blueBans,Nidalee,Kennen,Rumble
blueBans,Vladimir,Azir,Urgot
blueBans,Rumble,Morgana,TwistedFate
blueBans,Sejuani,Cassiopeia,Sivir
blueBans,Sejuani,Cassiopeia,Lulu
blueBans,Sejuani,Maokai,Thresh
blueBans,Maokai,Sion,Urgot
blueBans,Orianna,Gnar,LeeSin
blueBans,Orianna,Gnar,LeeSin
blueBans,Orianna,LeeSin,Gnar
blueBans,Sion,Maokai,Urgot
blueBans,Rumble,Vladimir,Nautilus
blueBans,Thresh,Janna,Urgot
blueBans,Rumble,Vladimir,Nautilus
blueBans,Thresh,Urgot,Gragas
blueBans,Ahri,Kalista,RekSai
blueBans,Maokai,LeeSin,Alistar
blueBans,Kalista,Ahri,TwistedFate
blueBans,Diana,Ahri,Kalista
blueBans,Diana,Ahri,Kalista
blueBans,Rumble,Shen,Tristana
blueBans,Kalista,Olaf,Lulu
blueBans,Azir,Nidalee,Elise
blueBans,TwistedFate,Kalista,Alistar
blueBans,Nidalee,Elise,Azir
blueBans,Olaf,Alistar,Rumble
blueBans,Janna,Kalista,TwistedFate
blueBans,Olaf,Ekko,Elise
blueBans,Kalista,Alistar,Janna
blueBans,Elise,KogMaw,Nidalee
blueBans,Vayne,Alistar,Tristana
blueBans,Nidalee,Soraka,Shen
blueBans,Vayne,Alistar,Azir
blueBans,Azir,Maokai,Lulu
blueBans,Kalista,Olaf,Tristana
blueBans,Azir,Maokai,Lulu
blueBans,Urgot,Nidalee,Lulu
blueBans,Urgot,Nidalee,Braum
blueBans,Urgot,Nidalee,Lulu
blueBans,Urgot,Nidalee,Lulu
blueBans,Urgot,Nidalee,Lulu
blueBans,Lulu,Braum,Tristana
blueBans,Lulu,Nidalee,Shen
blueBans,Braum,Tristana,Kalista
blueBans,Soraka,Nidalee,Lulu
blueBans,Braum,Gragas,Vayne
blueBans,Rumble,Karma,Elise
blueBans,Gangplank,Maokai,Lulu
blueBans,Draven,Maokai,Nidalee
blueBans,Gangplank,Maokai,Gragas
blueBans,Fiora,Olaf,Gangplank
blueBans,Alistar,Fiora,Lissandra
blueBans,TahmKench,Lulu,RekSai
blueBans,Kindred,TahmKench,Gangplank
blueBans,Graves,Nidalee,Gangplank
blueBans,TwistedFate,Gangplank,TahmKench
blueBans,Lulu,Ryze,RekSai
blueBans,Graves,Lissandra,Kalista
blueBans,Nidalee,Gangplank,TahmKench
blueBans,Graves,Poppy,TahmKench
blueBans,Thresh,TahmKench,Alistar
blueBans,Elise,Lulu,Ryze
blueBans,Poppy,Lissandra,Gangplank
blueBans,Kalista,DrMundo,Ryze
blueBans,Elise,Ahri,TahmKench
blueBans,Elise,Lulu,Fiora
blueBans,TahmKench,Lulu,Ryze
blueBans,Nidalee,Graves,Lulu
blueBans,Lulu,Lissandra,Lucian
blueBans,Elise,,
blueBans,Poppy,Lulu,Elise
blueBans,Fiora,Gangplank,Nidalee
blueBans,TahmKench,Poppy,Graves
blueBans,Kalista,TahmKench,Lulu
blueBans,Gangplank,Fiora,Nidalee
blueBans,Lulu,Corki,Lissandra
blueBans,Ryze,TahmKench,Alistar
blueBans,Corki,Poppy,Lissandra
blueBans,Kalista,TahmKench,Graves
blueBans,Elise,Kindred,Fiora
blueBans,Kalista,Elise,Corki
blueBans,Quinn,Lissandra,Gangplank
blueBans,Lissandra,Nidalee,Gangplank
blueBans,Alistar,Lulu,Ryze
blueBans,Poppy,Nidalee,Graves
blueBans,Corki,Elise,Graves
blueBans,Gangplank,TwistedFate,Graves
blueBans,Poppy,Fiora,Gangplank
blueBans,Gangplank,Alistar,Fiora
blueBans,Ryze,Braum,Zed
blueBans,Ryze,Kalista,Graves
blueBans,Elise,Lulu,Poppy
blueBans,Syndra,Kalista,Lulu
blueBans,Poppy,Corki,Graves
blueBans,Ryze,Zed,Nidalee
blueBans,Zilean,Nidalee,Lulu
blueBans,Poppy,Corki,Gangplank
blueBans,Ryze,Braum,Draven
blueBans,Alistar,Gangplank,Lulu
blueBans,Corki,Malphite,Elise
blueBans,Fiora,Nidalee,Gangplank
blueBans,Nidalee,Orianna,Malphite
blueBans,Graves,Nautilus,KogMaw
blueBans,Leblanc,Kayle,Gangplank
blueBans,Fiora,Leblanc,Nidalee
blueBans,Fiora,Kalista,Gangplank
blueBans,Gangplank,Malphite,Kalista
blueBans,Malphite,Kalista,Fiora
blueBans,Fiora,Gangplank,Soraka
blueBans,Poppy,Gragas,Lulu
blueBans,KogMaw,TwistedFate,Fiora
blueBans,Kalista,Lulu,Corki
blueBans,Lulu,Corki,Gragas
blueBans,Lulu,Kalista,Corki
blueBans,Poppy,Gangplank,Braum
blueBans,Kalista,Fiora,Gragas
blueBans,Braum,Fiora,Kalista
blueBans,Corki,Elise,Kindred
blueBans,Corki,Kayle,Lulu
blueBans,Jhin,TwistedFate,LeeSin
blueBans,Nautilus,Graves,Kindred
blueBans,Jhin,Poppy,Nidalee
blueBans,Corki,Gangplank,Varus
blueBans,Kindred,Sivir,Trundle
blueBans,Lissandra,Lulu,Corki
blueBans,Poppy,Jhin,Nidalee
blueBans,Zed,Corki,KogMaw
blueBans,Gangplank,Soraka,Kalista
blueBans,Udyr,Fiora,Kalista
blueBans,Lissandra,Graves,Gragas
blueBans,Braum,Elise,Nautilus
blueBans,Kindred,Azir,Kalista
blueBans,Azir,Nautilus,Kalista
blueBans,Lulu,Graves,Gangplank
blueBans,Gangplank,TwistedFate,Kayle
blueBans,Soraka,Morgana,Gangplank
blueBans,TwistedFate,Janna,Lulu
blueBans,Braum,Elise,Kindred
blueBans,Gangplank,Elise,Zed
blueBans,Lissandra,Lulu,Trundle
blueBans,Kindred,Ekko,Vladimir
blueBans,Zilean,Karma,Graves
blueBans,Ryze,Zyra,Swain
blueBans,Lissandra,Nidalee,Elise
blueBans,Ryze,Zyra,Swain
blueBans,Swain,Lucian,Nidalee
blueBans,Azir,Kindred,Lucian
blueBans,Swain,Ekko,Nidalee
blueBans,Azir,Zyra,Ryze
blueBans,Vladimir,Swain,Karma
blueBans,Lucian,Ryze,Kindred
blueBans,Braum,Swain,Fizz
blueBans,Lucian,Ryze,Trundle
blueBans,Azir,Kindred,Ekko
blueBans,Swain,Fiora,Nidalee
blueBans,Azir,Ekko,Bard
blueBans,Kindred,Ekko,Lucian
blueBans,Nidalee,Ekko,Vladimir
blueBans,Zyra,Lucian,Swain
blueBans,Lucian,Trundle,Elise
blueBans,Azir,Zyra,Kindred
blueBans,Karma,Braum,Ekko
blueBans,Maokai,Kindred,Lucian
blueBans,Ekko,Swain,Nidalee
blueBans,Ekko,Lissandra,Ashe
blueBans,Twitch,Vladimir,Kindred
blueBans,Ashe,Lissandra,TwistedFate
blueBans,Maokai,Lissandra,Zyra
blueBans,Ryze,Nidalee,Ashe
blueBans,Lissandra,Irelia,Ryze
blueBans,Trundle,Fiora,Kindred
blueBans,Anivia,Irelia,RekSai
blueBans,Jax,Trundle,Fiora
blueBans,Ashe,Swain,
blueBans,Vladimir,Trundle,Braum
blueBans,Ashe,Swain,Trundle
blueBans,Zyra,TwistedFate,Nidalee
blueBans,Vladimir,Azir,Kindred
blueBans,TwistedFate,Zyra,Nidalee
blueBans,Azir,RekSai,Ryze
blueBans,Anivia,Karma,Sivir
